"","date","ecocean","date.week"
"1",2013-12-07,"MZ-129",2013-12-02
"2",2013-12-13,"MZ-129",2013-12-09
"3",2013-12-12,"MZ-129",2013-12-09
"4",2014-01-12,"MZ-129",2014-01-06
"5",2014-01-14,"MZ-129",2014-01-13
"6",2012-10-30,"MZ-136",2012-10-29
"7",2012-10-30,"MZ-136",2012-10-29
"8",2012-11-10,"MZ-136",2012-11-05
"9",2013-11-24,"MZ-136",2013-11-18
"10",2013-11-24,"MZ-136",2013-11-18
"11",2013-01-01,"MZ-136",2012-12-31
"12",2014-02-02,"MZ-136",2014-01-27
"13",2014-01-28,"MZ-136",2014-01-27
"14",2007-12-19,"TZ-001",2007-12-17
"15",2008-02-16,"TZ-001",2008-02-11
"16",2012-10-21,"TZ-001",2012-10-15
"17",2012-11-24,"TZ-001",2012-11-19
"18",2012-11-27,"TZ-001",2012-11-26
"19",2012-11-28,"TZ-001",2012-11-26
"20",2012-12-03,"TZ-001",2012-12-03
"21",2007-12-19,"TZ-002",2007-12-17
"22",2008-01-18,"TZ-002",2008-01-14
"23",2007-12-19,"TZ-003",2007-12-17
"24",2011-11-16,"TZ-003",2011-11-14
"25",2012-10-24,"TZ-003",2012-10-22
"26",2011-11-16,"TZ-003",2011-11-14
"27",2012-12-13,"TZ-003",2012-12-10
"28",2012-12-13,"TZ-003",2012-12-10
"29",2012-11-22,"TZ-003",2012-11-19
"30",2012-12-06,"TZ-003",2012-12-03
"31",2012-12-14,"TZ-003",2012-12-10
"32",2012-11-26,"TZ-003",2012-11-26
"33",2012-11-24,"TZ-003",2012-11-19
"34",2012-12-15,"TZ-003",2012-12-10
"35",2013-01-17,"TZ-003",2013-01-14
"36",2013-01-18,"TZ-003",2013-01-14
"37",2013-01-10,"TZ-003",2013-01-07
"38",2013-01-16,"TZ-003",2013-01-14
"39",2012-11-23,"TZ-003",2012-11-19
"40",2012-12-23,"TZ-003",2012-12-17
"41",2012-12-26,"TZ-003",2012-12-24
"42",2012-12-24,"TZ-003",2012-12-24
"43",2012-12-28,"TZ-003",2012-12-24
"44",2012-12-29,"TZ-003",2012-12-24
"45",2012-12-30,"TZ-003",2012-12-24
"46",2013-11-15,"TZ-003",2013-11-11
"47",2008-01-20,"TZ-004",2008-01-14
"48",2008-01-19,"TZ-004",2008-01-14
"49",2006-12-13,"TZ-005",2006-12-11
"50",2013-11-21,"TZ-005",2013-11-18
"51",2013-11-21,"TZ-005",2013-11-18
"52",2006-12-13,"TZ-006",2006-12-11
"53",2008-02-16,"TZ-007",2008-02-11
"54",2008-01-16,"TZ-008",2008-01-14
"55",2008-01-20,"TZ-009",2008-01-14
"56",2012-12-07,"TZ-009",2012-12-03
"57",2012-12-08,"TZ-009",2012-12-03
"58",2013-01-13,"TZ-009",2013-01-07
"59",2012-12-16,"TZ-009",2012-12-10
"60",2013-01-17,"TZ-009",2013-01-14
"61",2013-01-18,"TZ-009",2013-01-14
"62",2012-12-23,"TZ-009",2012-12-17
"63",2012-12-24,"TZ-009",2012-12-24
"64",2012-12-27,"TZ-009",2012-12-24
"65",2012-12-29,"TZ-009",2012-12-24
"66",2012-12-28,"TZ-009",2012-12-24
"67",2012-12-30,"TZ-009",2012-12-24
"68",2013-01-08,"TZ-009",2013-01-07
"69",2013-11-07,"TZ-009",2013-11-04
"70",2014-01-08,"TZ-009",2014-01-06
"71",2014-01-26,"TZ-009",2014-01-20
"72",2014-01-27,"TZ-009",2014-01-27
"73",2014-02-03,"TZ-009",2014-02-03
"74",2014-01-28,"TZ-009",2014-01-27
"75",2008-02-17,"TZ-010",2008-02-11
"76",2007-12-05,"TZ-010",2007-12-03
"77",2012-10-27,"TZ-010",2012-10-22
"78",2013-11-20,"TZ-010",2013-11-18
"79",2013-12-05,"TZ-010",2013-12-02
"80",2008-02-27,"TZ-011",2008-02-25
"81",2011-11-26,"TZ-011",2011-11-21
"82",2011-11-26,"TZ-011",2011-11-21
"83",2012-10-17,"TZ-011",2012-10-15
"84",2012-10-31,"TZ-011",2012-10-29
"85",2012-10-30,"TZ-011",2012-10-29
"86",2012-11-01,"TZ-011",2012-10-29
"87",2012-11-23,"TZ-011",2012-11-19
"88",2012-12-14,"TZ-011",2012-12-10
"89",2012-11-24,"TZ-011",2012-11-19
"90",2013-11-21,"TZ-011",2013-11-18
"91",2013-11-21,"TZ-011",2013-11-18
"92",2013-11-20,"TZ-011",2013-11-18
