"","A..4.."
"1","Canada"
"2","South Africa"
"3","Denmark"
"4","Great Lakes:Superior, Huron, Michigan"
"5","USSR"
"6","Pakistan"
"7","Aral Sea"
"8","Italy"
"9","Nicaragua"
"10","Netherlands"
"11","Caspian Sea"
"12","Mexico"
"13","Iraq:Hawr al Hammar"
"14","Iraq"
"15","Nicaragua:Lago de Nicaragua"
"16","Lake Malawi"
"17","Ethiopia"
"18","Netherlands:IJsselmeer"
"19","USA"
"20","Mongolia"
"21","Switzerland"
"22","Cambodia"
"23","France"
"24","Papua New Guinea:Wuvulu"
"25","USA:Alaska"
"26","Guatemala"
"27","Belize"
"28","Honduras"
"29","El Salvador"
"30","Costa Rica"
"31","Panama"
"32","Colombia"
"33","Ecuador"
"34","Peru"
"35","Brazil"
"36","Bolivia"
"37","Chile"
"38","Argentina"
"39","Paraguay"
"40","Uruguay"
"41","Guyana"
"42","Suriname"
"43","French Guiana"
"44","Venezuela"
"45","Great Lakes:Ontario"
"46","Great Lakes:Erie"
"47","Lake Titicaca"
"48","USA:Point Roberts"
"49","Bolivia:Titicaca Penninsula"
"50","Guinea-Bissau:?"
"51","USSR:Ostrov Jackson"
"52","Indonesia:?"
"53","Romania"
"54","Iran"
"55","Turkey"
"56","Afghanistan"
"57","China"
"58","India"
"59","Myanmar"
"60","Nepal"
"61","Bhutan"
"62","Bangladesh"
"63","Thailand"
"64","Malaysia:Malay Penninsula"
"65","Laos"
"66","Vietnam"
"67","China:Macau"
"68","China:Hong Kong"
"69","North Korea"
"70","Hungary"
"71","Czechoslovakia"
"72","Poland"
"73","South Korea"
"74","Black Sea:Ozeros"
"75","Lake Pasvikelv"
"76","Turkey:North"
"77","Bulgaria"
"78","Yugoslavia"
"79","Greece"
"80","Albania"
"81","Austria"
"82","Lacul Greaca"
"83","Germany"
"84","Luxembourg"
"85","Belgium"
"86","Liechtenstein"
"87","Portugal"
"88","Spain"
"89","UK:Gibralter"
"90","Andorra"
"91","Monaco"
"92","Norway"
"93","Finland"
"94","Sweden"
"95","Norway:Tana"
"96","Egypt"
"97","Libya"
"98","Sudan"
"99","Chad"
"100","Tunisia"
"101","Algeria"
"102","Mali"
"103","Mauritania"
"104","Morocco"
"105","Spain:Melilla"
"106","Spain:Ceuta"
"107","Western Sahara"
"108","Senegal"
"109","Gambia"
"110","Guinea-Bissau"
"111","Guinea"
"112","Ivory Coast"
"113","Liberia"
"114","Sierra Leone"
"115","Ivory Coast:Aby Penninsula"
"116","Ghana"
"117","Burkina Faso"
"118","Niger"
"119","Benin"
"120","Togo"
"121","Nigeria"
"122","Cameroon"
"123","Central African Republic"
"124","Zaire"
"125","Congo"
"126","Gabon"
"127","Equatorial Guinea:Rio Muni"
"128","Angola:Cabinda"
"129","Uganda"
"130","Rwanda"
"131","Zambia"
"132","Angola"
"133","Burundi"
"134","Namibia"
"135","South Africa:Walvis Bay"
"136","Botswana"
"137","Mozambique"
"138","Swaziland"
"139","Zimbabwe"
"140","Malawi"
"141","Tanzania"
"142","Kenya"
"143","Somalia"
"144","Djibouti"
"145","Syria"
"146","Lebanon"
"147","Jordan"
"148","Israel"
"149","Egypt:Sinai"
"150","Gaza Strip"
"151","Saudi Arabia"
"152","Yemen"
"153","Qatar"
"154","Kuwait"
