"","DATE","START.TIME","END.TIME","SNORKELERS","DURATION","date.week"
"1",2012-10-17,2012-10-17 09:00:00,2012-10-17 11:30:00,"4",150,2012-10-15
"2",2012-10-20,2012-10-20 08:30:00,2012-10-20 12:30:00,"3",240,2012-10-15
"3",2012-10-21,2012-10-21 08:30:00,2012-10-21 11:30:00,"6",180,2012-10-15
"4",2012-10-22,2012-10-22 08:30:00,2012-10-22 12:00:00,"7",210,2012-10-22
"5",2012-10-23,2012-10-23 08:15:00,2012-10-23 12:00:00,"5",225,2012-10-22
"6",2012-10-24,2012-10-24 09:00:00,2012-10-24 12:10:00,"5",190,2012-10-22
"7",2012-10-25,2012-10-25 09:15:00,2012-10-25 13:30:00,"2",255,2012-10-22
"8",2012-10-27,2012-10-27 11:15:00,2012-10-27 14:45:00,"3",210,2012-10-22
"9",2012-10-28,2012-10-28 12:00:00,2012-10-28 14:00:00,"2",120,2012-10-22
"10",2012-10-29,2012-10-29 08:50:00,2012-10-29 12:15:00,"2",205,2012-10-29
"11",2012-10-30,2012-10-30 06:05:00,2012-10-30 10:45:00,"2",280,2012-10-29
"12",2012-10-31,2012-10-31 06:20:00,2012-10-31 10:00:00,"2",220,2012-10-29
"13",2012-11-01,2012-11-01 06:25:00,2012-11-01 09:30:00,"2",185,2012-10-29
"14",2012-11-05,2012-11-05 15:00:00,2012-11-05 18:30:00,"2",210,2012-11-05
"15",2012-11-06,2012-11-06 14:15:00,2012-11-06 18:30:00,"3",255,2012-11-05
"16",2012-11-07,2012-11-07 07:00:00,2012-11-07 11:45:00,"3",285,2012-11-05
"17",2012-11-09,NA,NA,"2",230,2012-11-05
"18",2012-11-10,NA,NA,"3",230,2012-11-05
"19",2012-11-11,2012-11-11 13:30:00,2012-11-11 15:45:00,"3",135,2012-11-05
"20",2012-11-12,2012-11-12 07:15:00,2012-11-12 11:30:00,"3",255,2012-11-12
"21",2012-11-15,2012-11-15 06:45:00,2012-11-15 11:05:00,"3",260,2012-11-12
"22",2012-11-16,2012-11-16 13:55:00,2012-11-16 18:00:00,"3",245,2012-11-12
"23",2012-11-17,2012-11-17 14:30:00,2012-11-17 18:00:00,"3",210,2012-11-12
"24",2012-11-18,2012-11-18 06:00:00,2012-11-18 10:15:00,"3",255,2012-11-12
"25",2012-11-19,2012-11-19 06:30:00,2012-11-19 10:15:00,"3",225,2012-11-19
"26",2012-11-20,2012-11-20 06:30:00,2012-11-20 10:45:00,"4",255,2012-11-19
"27",2012-11-22,2012-11-22 07:00:00,2012-11-22 10:45:00,"5",225,2012-11-19
"28",2012-11-23,2012-11-23 06:45:00,2012-11-23 11:15:00,"5",270,2012-11-19
"29",2012-11-24,2012-11-24 06:45:00,2012-11-24 13:30:00,"3",405,2012-11-19
"30",2012-11-26,2012-11-26 06:40:00,2012-11-26 11:30:00,"3",290,2012-11-26
"31",2012-11-27,2012-11-27 07:00:00,2012-11-27 10:50:00,"3",230,2012-11-26
"32",2012-11-28,2012-11-28 07:10:00,2012-11-28 12:15:00,"4",305,2012-11-26
"33",2012-11-29,2012-11-29 06:45:00,2012-11-29 10:30:00,"3",225,2012-11-26
"34",2012-12-01,2012-12-01 06:45:00,2012-12-01 12:00:00,"6",315,2012-11-26
"35",2012-12-02,2012-12-02 06:30:00,2012-12-02 11:15:00,"2",285,2012-11-26
"36",2012-12-03,2012-12-03 06:20:00,2012-12-03 11:20:00,"2",300,2012-12-03
"37",2012-12-06,2012-12-06 06:30:00,2012-12-06 10:45:00,"1",255,2012-12-03
"38",2012-12-07,2012-12-07 07:15:00,2012-12-07 12:00:00,"3",285,2012-12-03
"39",2012-12-08,2012-12-08 06:45:00,2012-12-08 11:45:00,"3",300,2012-12-03
"40",2012-12-11,2012-12-11 07:30:00,2012-12-11 11:45:00,"5",255,2012-12-10
"41",2012-12-13,2012-12-13 07:30:00,2012-12-13 11:30:00,"4",240,2012-12-10
"42",2012-12-14,2012-12-14 06:30:00,2012-12-14 11:00:00,"4",270,2012-12-10
"43",2012-12-15,2012-12-15 06:30:00,2012-12-15 10:00:00,"4",210,2012-12-10
"44",2012-12-16,2012-12-16 06:30:00,2012-12-16 10:00:00,"4",210,2012-12-10
"45",2012-12-17,2012-12-17 06:45:00,2012-12-17 09:30:00,"4",165,2012-12-17
"46",2012-12-19,2012-12-19 07:00:00,2012-12-19 11:00:00," - ",240,2012-12-17
"47",2012-12-21,2012-12-21 07:30:00,2012-12-21 10:00:00,"2",150,2012-12-17
"48",2012-12-22,2012-12-22 07:00:00,2012-12-22 11:15:00,"2",255,2012-12-17
"49",2012-12-23,2012-12-23 07:45:00,2012-12-23 10:30:00,"2",165,2012-12-17
"50",2012-12-24,2012-12-24 07:00:00,2012-12-24 10:15:00,"2",195,2012-12-24
"51",2012-12-25,2012-12-25 07:15:00,2012-12-25 11:00:00,"3",225,2012-12-24
"52",2012-12-26,2012-12-26 06:45:00,2012-12-26 12:00:00,"3",315,2012-12-24
"53",2012-12-27,2012-12-27 07:30:00,2012-12-27 10:00:00,"3",150,2012-12-24
"54",2012-12-28,2012-12-28 06:30:00,2012-12-28 12:00:00,"3",330,2012-12-24
"55",2012-12-29,2012-12-29 07:15:00,2012-12-29 11:00:00,"3",225,2012-12-24
"56",2012-12-30,2012-12-30 07:00:00,2012-12-30 10:15:00,"3",195,2012-12-24
"57",2012-12-31,2012-12-31 06:30:00,2012-12-31 10:30:00,"2",240,2012-12-31
"58",2013-01-07,2013-01-07 13:00:00,2013-01-07 15:15:00,"4",135,2013-01-07
"59",2013-01-08,2013-01-08 08:00:00,2013-01-08 13:00:00,"4",300,2013-01-07
"60",2013-01-09,2013-01-09 08:00:00,2013-01-09 12:15:00,"3",255,2013-01-07
"61",2013-01-10,2013-01-10 08:00:00,2013-01-10 12:00:00,"4",240,2013-01-07
"62",2013-01-11,2013-01-11 14:45:00,2013-01-11 18:00:00,"3",195,2013-01-07
"63",2013-01-12,2013-01-12 07:30:00,2013-01-12 12:30:00,"2",300,2013-01-07
"64",2013-01-13,2013-01-13 08:00:00,2013-01-13 11:45:00,"2",225,2013-01-07
"65",2013-01-14,2013-01-14 08:00:00,2013-01-14 09:30:00,"1",90,2013-01-14
"66",2013-01-16,2013-01-16 07:45:00,2013-01-16 11:30:00,"3",225,2013-01-14
"67",2013-01-17,2013-01-17 07:00:00,2013-01-17 11:00:00,"3",240,2013-01-14
"68",2013-01-18,2013-01-18 14:30:00,2013-01-18 16:30:00,"3",120,2013-01-14
"69",2013-01-20,2013-01-20 08:30:00,2013-01-20 09:15:00," - ",45,2013-01-14
"70",2013-01-21,2013-01-21 07:45:00,2013-01-21 13:00:00,"5",315,2013-01-21
